sku,price,special_price,weight,ups,shipping_cost
"RCP3502WHI","33.9800","13.1112","2.4000","Y","4.4174",
"RCP3504WHI","41.7000","41.7000","2.8000","N","",
"RCP3506WHI","48.3900","18.6732","3.0000","Y","6.2907",
"RCP3507WHI","27.4700","10.5948","1.1000","Y","3.5711",
"RCP3508WHI","60.3900","23.3064","3.5000","Y","7.8507",
"RCP3509WHI","33.9800","13.1112","1.8000","Y","4.4174",
"RCP3510WHI","19.9000","7.6788","0.9000","Y","2.5870",
"RCP352000BG","194.0000","74.8548","7.7500","Y","",
"RCP352000GY","194.0000","74.8548","6.5600","Y","",
"RCP352073BLU","194.0000","74.8548","6.5640","Y","25.2200",
"RCP3526WHI","94.5800","36.5040","8.9590","Y","12.2954",
"RCP3527WHI","29.5100","11.3940","2.8000","Y","",
"RCP3527RED","29.5100","11.3940","2.2580","Y","3.8363",
"RCP3527WHI","29.5100","11.3940","2.8000","Y","3.8363",
"RCP3530","153.8200","59.3460","13.4900","Y","19.9966",
"RCP3536WHI","133.5200","51.5160","14.6000","Y","",
"RCP3536WHI","133.5200","51.5160","14.6000","Y","17.3576",
"RCP353673BLU","133.5200","51.5160","14.6000","N","17.3576",
"RCP3539WHI","40.5200","15.6384","3.7000","Y","",
"RCP3539WHI","40.5200","15.6384","3.7000","Y","5.2676",
"RCP3540BE","115.3200","44.4960","29.9040","Y","",
"RCP3540GRAY","84.4000","60.9984","6.6500","Y","",
"RCP354000BG","115.3200","44.4960","8.2100","Y","",
"RCP354007BE","128.1900","49.4532","8.0000","Y","",
"RCP3540BRO","107.2500","107.2500","7.6000","N","",
"RCP354007BE","128.1900","49.4532","7.6500","Y","",
"RCP354007GN","128.1900","49.4532","7.6500","Y","",
"RCP354060BG","128.1900","49.4532","7.6500","Y","",
"RCP354060BK","128.1900","49.4532","7.6500","Y","",
"RCP354060GY","128.1900","49.4532","7.6500","Y","",
"RCP354007BE","128.1900","49.4532","8.0000","Y","",
"RCP1971258","99.7200","38.4696","6.0000","Y","",
"RCP1883455","127.2000","70.7508","7.0000","Y","",
"RCP1971257","99.7200","38.4696","6.0000","Y","",
"RCP3543GRA","91.3900","35.2620","2.4500","Y","11.8807",
"RCP354600BG","141.4600","54.5832","6.9000","Y","",
"RCP3548GRA","60.1700","23.2200","1.1000","Y","7.8221",
"RCP3550GRA","110.2400","42.5412","3.7100","Y","14.3312",
"RCP355188BLA","171.0300","65.9880","10.9000","Y","22.2339",
"RCP355200GY","142.6000","55.0152","6.7250","Y","",
"RCP3553STL","344.5100","130.4648","1.0000","Y","37.8961",
"RCP356300BG","159.6200","85.0716","6.6400","Y","",
"RCP3566GRA","286.8200","108.6182","8.0000","Y","31.5502",
"RCP356907GRECT","638.4700","241.7860","25.4000","Y","",
"RCP356973BE","159.6200","61.5816","29.3000","Y","",
"RCP356988BRO","159.6200","61.5816","5.0500","Y","20.7506",
"RCP356988BG","159.6200","61.5816","5.0500","Y","",
"RCP356988BG","159.6200","61.5816","5.0500","Y","",
"RCP356988BG","159.6200","61.5816","5.0500","Y","",
"RCP360088WHI","712.8100","269.9396","28.1600","Y","78.4091",
"RCP360288WHI","749.9800","284.0164","31.0000","Y","82.4978",
"RCP360388WHI","761.0800","288.2352","33.2000","Y","83.7188",
"RCP362000BK","303.4900","114.9358","3.2500","Y","",
"RCP3690WHICT","179.1200","69.1416","6.8000","Y","",
"RCP3958GRA","258.0100","99.5544","77.3000","Y","",
"RCP3958GRA","258.0100","99.5544","77.3000","Y","28.3811",
